long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4267895634285,-34.5908806748643,82479,Lineal,14,NA,Honduras,4600.0,4691,HONDURAS 4691,Exacta,Liquidambar styraciflua,3.5,Ocupada,Regular,A nivel,11,6
-58.4267176937087,-34.590927695169,82480,Lineal,14,NA,Honduras,4600.0,4681,HONDURAS 4681,Exacta,Acer negundo,3.5,Ocupada,Regular,A nivel,37,7
-58.426642453501394,-34.5909769204946,82482,Lineal,14,NA,Honduras,4600.0,4673,HONDURAS 4673,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,Elevada,4,3
-58.42656972047671,-34.5910245054094,82483,Lineal,14,NA,Honduras,4600.0,4663,HONDURAS 4663,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,Elevada,40,10
-58.4264970079548,-34.591072076819,82484,Lineal,14,NA,Honduras,4600.0,4659,HONDURAS 4659,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,36,10
-58.4264242815244,-34.5911196572131,82490,Lineal,14,NA,Honduras,4600.0,4649,HONDURAS 4649,Exacta,Ligustrum lucidum,3.5,Ocupada,Regular,Elevada,12,7
-58.4263412522678,-34.591173978000604,82491,Lineal,14,NA,Honduras,4600.0,4641,HONDURAS 4641,Exacta,Ficus benjamina,3.5,Ocupada,Regular,A nivel,6,2
-58.436339052011206,-34.567216925237496,82492,Lineal,14,NA,Maure,1700.0,1772,MAURE 1772,Exacta,Fraxinus pennsylvanica,4.4,Sobreocupada,Regular,Elevada,53,12
-58.4350529137569,-34.5672399833542,82493,Lineal,14,NA,Soldado de La Independencia,800.0,816,SOLDADO DE LA INDEPENDENCIA 816,Exacta,Fraxinus pennsylvanica,4.4,Ocupada,Regular,A nivel,42,14
-58.43646193165029,-34.5676114915342,82494,Lineal,14,NA,Arce,800.0,893,ARCE 893,Exacta,Fraxinus pennsylvanica,4.5,Sobreocupada,Ochava,Elevada,37,5
-58.426251927119104,-34.591232417641,82495,Lineal,14,NA,Honduras,4600.0,4633,HONDURAS 4633,LA,Acer negundo,3.5,Ocupada,Regular,A nivel,36,8
-58.435790317982594,-34.566814738499495,82504,Lineal,14,NA,Soldado de La Independencia,800.0,892,SOLDADO DE LA INDEPENDENCIA 892,LA,Platanus x acerifolia,4.4,Ocupada,Ochava,A nivel,92,16
-58.4354963875137,-34.569902070687796,82508,Lineal,14,NA,Matienzo Benjamin Tte.,1900.0,1945,"MATIENZO, BENJAMIN, TENIENTE 1945",Exacta,No identificado,4.4,Sobreocupada,Regular,Elevada,8,2
-58.4351874699215,-34.5671623884135,82509,Lineal,14,NA,Soldado de La Independencia,800.0,828,SOLDADO DE LA INDEPENDENCIA 828,Exacta,Platanus x acerifolia,4.4,Ocupada,Regular,A nivel,102,20
-58.4354963875137,-34.569902070687796,82510,Lineal,14,NA,Matienzo Benjamin Tte.,1900.0,1987,"MATIENZO, BENJAMIN, TENIENTE 1987",Exacta,No identificado,4.4,Sobreocupada,Regular,Elevada,6,2
-58.436007939166,-34.5668278690712,82511,Lineal,14,NA,Maure,1700.0,1702,MAURE 1702,Exacta,Fraxinus pennsylvanica,4.4,Ocupada,Ochava,A nivel,34,8
-58.435790317982594,-34.566814738499495,82512,Lineal,14,NA,Soldado de La Independencia,800.0,892,SOLDADO DE LA INDEPENDENCIA 892,Exacta,Platanus x acerifolia,4.4,Ocupada,Regular,A nivel,77,17
-58.436067525926894,-34.569757109232604,82513,Lineal,14,NA,Campos Luis María Av.,700.0,747,"CAMPOS, LUIS M. AV. 747",Exacta,Jacaranda mimosifolia,2.8,Ocupada,Regular,A nivel,19,5
-58.4356651830299,-34.5668869017005,82514,Lineal,14,NA,Soldado de La Independencia,800.0,876,SOLDADO DE LA INDEPENDENCIA 876,Exacta,Jacaranda mimosifolia,4.4,Ocupada,Regular,A nivel,4,3
-58.4354963875137,-34.569902070687796,82515,Lineal,14,NA,Matienzo Benjamin Tte.,1900.0,1985,"MATIENZO, BENJAMIN, TENIENTE 1985",Exacta,Fraxinus pennsylvanica,4.4,Ocupada,Regular,Elevada,16,3
-58.43545873789121,-34.5670059545581,82516,Lineal,14,NA,Soldado de La Independencia,800.0,850,SOLDADO DE LA INDEPENDENCIA 850,Exacta,Jacaranda mimosifolia,4.4,Sobreocupada,Regular,Elevada,17,6
-58.426251927119104,-34.591232417641,82517,Lineal,14,NA,Honduras,4600.0,4633,HONDURAS 4633,Exacta,Acer negundo,3.5,Ocupada,Regular,A nivel,37,9
-58.43646193165029,-34.5676114915342,82518,Lineal,14,NA,Arce,800.0,893,ARCE 893,Exacta,Ficus benjamina,4.5,Sobreocupada,Ochava,Elevada,7,2
-58.436067525926894,-34.569757109232604,82519,Lineal,14,NA,Campos Luis María Av.,700.0,751,"CAMPOS, LUIS M. AV. 751",LD,Jacaranda mimosifolia,2.8,Ocupada,Regular,A nivel,8,3
-58.4354963875137,-34.569902070687796,82520,Lineal,14,NA,Matienzo Benjamin Tte.,1900.0,1945,"MATIENZO, BENJAMIN, TENIENTE 1945",Exacta,Ficus benjamina,4.4,Sobreocupada,Regular,Elevada,8,2
